music_names,urls
Chilli,https://genius.com/Seventeen-chilli-lyrics
Chronosaurus,https://genius.com/Stray-kids-chronosaurus-lyrics
"Circular, OP.1 (Crevasse)",https://genius.com/Mc-the-max-circular-op1-crevasse-lyrics
"Circular, OP.2 (Restored)",https://genius.com/Mc-the-max-circular-op-2-restored-lyrics
Cliché,https://genius.com/Junoflo-cliche-lyrics
Close To Night,https://genius.com/Sonnet-son-close-to-night-lyrics
Close To You,https://genius.com/Lovelyz-close-to-you-lyrics
Clover,https://genius.com/The-boyz-korea-clover-lyrics
Clover,https://genius.com/Yoon-ji-sung-clover-lyrics
Coat,https://genius.com/Babylon-coat-lyrics
Codex Gigas,https://genius.com/Bang-yong-guk-codex-gigas-lyrics
Colors,https://genius.com/Loo-colors-lyrics
Cold,https://genius.com/Han-yo-han-cold-lyrics
Cold,https://genius.com/Key-shinee-cold-lyrics
Colorful X'mas,https://genius.com/Nichkhun-of-2pm-colorful-xmas-lyrics
Come In,https://genius.com/Gxxd-girlnexxtdoor-come-in-lyrics
Cong Cong (Uhh Ohh),https://genius.com/Dreamnote-cong-cong-uhh-ohh-lyrics
Countdown,https://genius.com/1team-countdown-lyrics
Crazy & Crazy,https://genius.com/Oneus-crazy-and-crazy-lyrics
Crime Scene,https://genius.com/Oh-my-girl-crime-scene-lyrics
Crown,https://genius.com/Txt-crown-lyrics
Curiosity,https://genius.com/Loo-curiosity-lyrics
Curtain Call,https://genius.com/Son-dong-woon-curtain-call-lyrics
Curtain Call (Outro),https://genius.com/Junoflo-curtain-call-outro-lyrics
DALLA DALLA,https://genius.com/Itzy-dalla-dalla-lyrics
Dance,https://genius.com/Han-yo-han-dance-lyrics
Dance For Two,https://genius.com/Ab6ix-dance-for-two-lyrics
Danger,https://genius.com/Super-junior-d-e-danger-lyrics
Dante,https://genius.com/Hash-swan-dante-lyrics
Day By Day,https://genius.com/Knk-day-by-day-lyrics
Daydream,https://genius.com/Dreamcatcher-daydream-lyrics
Ddu-du-Ddu-du (Remix),https://genius.com/Blackpink-ddu-du-ddu-du-remix-lyrics
Dear Diary,https://genius.com/Yeri-red-velvet-dear-diary-lyrics
Dear My Blue,https://genius.com/Baek-yerin-dear-my-blue-lyrics
Decrescendo,https://genius.com/Son-dong-woon-decrescendo-lyrics
Deep,https://genius.com/Trei-deep-annotated
Deep,https://genius.com/U-sung-eun-deep-lyrics
Desert Island,https://genius.com/Cosmic-boy-desert-island-lyrics
Designer,https://genius.com/Kim-jaehwan-designer-lyrics
Desire,https://genius.com/Ateez-desire-lyrics
Diamond,https://genius.com/Dreamcatcher-diamond-lyrics
Diary,https://genius.com/Bang-yong-guk-diary-lyrics
Different,https://genius.com/Nuest-different-lyrics
Dionysus,https://genius.com/Bts-dionysus-lyrics
Dirty Nikes,https://genius.com/Ph-1-dirty-nikes-lyrics
Dispatch,https://genius.com/Heize-dispatch-lyrics
Do It Like Me,https://genius.com/Ace-kpop-do-it-like-me-lyrics
Domino,https://genius.com/Wooseok-x-kuanlin-domino-lyrics
Domino,https://genius.com/1the9-domino-lyrics
Don't Forget Me,https://genius.com/Ha-sung-woon-dont-forget-me-lyrics
Don't Forget Me,https://genius.com/Yoonmirae-dont-forget-me-lyrics
Don't Hang Up,https://genius.com/Suran-dont-hang-up-lyrics
Don't Know What To Do,https://genius.com/Blackpink-dont-know-what-to-do-lyrics
Don't Say Goodbye,https://genius.com/Rocoberry-x-doyoung-dont-say-goodbye-lyrics
Doobling,https://genius.com/Heize-doobling-lyrics
Do You Love Me?,https://genius.com/Luna-of-fx-do-you-love-me-lyrics
Dramatic,https://genius.com/Bvndit-dramatic-lyrics
Dreamer,https://genius.com/Super-junior-d-e-dreamer-lyrics
Drunk In The Morning,https://genius.com/Ryeowook-drunk-in-the-morning-lyrics
Drunk On You,https://genius.com/Jus2-drunk-on-you-lyrics
DSMN,https://genius.com/Junho-from-2pm-dsmn-lyrics
D+1,https://genius.com/Everglow-korea-d-1-lyrics
Easy,https://genius.com/Block-b-bastarz-easy-lyrics
Eclipse,https://genius.com/Got7-eclipse-lyrics
Eh-O!,https://genius.com/Mc-the-max-eh-o-lyrics
Empty,https://genius.com/Jung-daehyun-empty-lyrics
Endearing,https://genius.com/Nichkhun-of-2pm-endearing-lyrics
End of 20's,https://genius.com/Kang-min-kyung-end-of-20s-lyrics
Enough,https://genius.com/Apink-enough-lyrics
Enough,https://genius.com/Mc-the-max-enough-lyrics
Enough,https://genius.com/Sf9-enough-lyrics
Entrance,https://genius.com/Stray-kids-entrance-lyrics
E.T,https://genius.com/Heize-et-lyrics
Even So,https://genius.com/Luna-of-fx-even-so-lyrics
Everyday (Remix),https://genius.com/Winner-everyday-remix-lyrics
Everybody Ready?,https://genius.com/Apink-everybody-ready-lyrics
Eye Contact,https://genius.com/Oneus-eye-contact-lyrics
Eye to Eye,https://genius.com/God-korea-eye-to-eye-lyrics
Faded,https://genius.com/Jackson-wang-faded-lyrics
Fallin',https://genius.com/Lee-minhyuk-fallin-lyrics
Falling U,https://genius.com/Momoland-falling-u-lyrics
Fall In Love,https://genius.com/Sf9-fall-in-love-lyrics
Fancy,https://genius.com/Favorite-korea-fancy-lyrics
Fancy,https://genius.com/Twice-fancy-lyrics
Fancy,https://genius.com/Junho-from-2pm-fancy-lyrics
Fancy,https://genius.com/Yoo-young-jae-fancy-lyrics
Feedback,https://genius.com/Ladies-code-feedback-lyrics
Feeling,https://genius.com/Jeong-sewoon-feeling-lyrics
Feel Love,https://genius.com/Leo-vixx-feel-love-lyrics
Fighting Villains,https://genius.com/Han-yo-han-fighting-villains-lyrics
F.I.L,https://genius.com/Verivery-fil-lyrics
Find The Way,https://genius.com/Kuhn-wei-bitto-up10tion-find-the-way-lyrics
Fine,https://genius.com/Nuest-fine-lyrics
Finish Line (Remix),https://genius.com/Jay-park-finish-line-remix-lyrics
First Love,https://genius.com/Winner-2019-first-love-lyrics
Flashlight,https://genius.com/Junho-from-2pm-flashlight-lyrics
Flower,https://genius.com/Chen-exo-flower-lyrics
Flower,https://genius.com/Verivery-flower-lyrics
Flowerwork,https://genius.com/Nflying-flowerwork-lyrics
Focus,https://genius.com/Kim-donghan-focus-lyrics
Focus On Me,https://genius.com/Jus2-focus-on-me-lyrics
Follower,https://genius.com/Qwala-follower-lyrics
Fool,https://genius.com/Nct-127-fool-lyrics
Fools Gold,https://genius.com/Junoflo-fools-gold-lyrics
Four Seasons,https://genius.com/Taeyeon-four-seasons-lyrics
Friend Zone,https://genius.com/Ab6ix-friend-zone-lyrics
Friend Zone,https://genius.com/Jbj95-friend-zone-lyrics
From,https://genius.com/Ateez-from-lyrics
From Now,https://genius.com/Verivery-from-now-lyrics
From Seoul,https://genius.com/Block-b-bastarz-from-seoul-lyrics
Gang Gang Schiele (Superorganism Remix),https://genius.com/Hyukoh-gang-gang-schiele-superorganism-remix-lyrics
Get Away,https://genius.com/Seven-oclock-get-away-lyrics
Get Money,https://genius.com/Kidd-king-get-money-lyrics
Get Ready,https://genius.com/Verivery-get-ready-lyrics
Getting Closer,https://genius.com/Seventeen-getting-closer-lyrics
Ghost,https://genius.com/Monsta-x-ghost-lyrics
Girls Like Us,https://genius.com/Twice-girls-like-us-lyrics
Give Me Dat,https://genius.com/Monsta-x-give-me-dat-lyrics
Give Me Your,https://genius.com/G-i-dle-give-me-your-lyrics
Gloomy,https://genius.com/Super-junior-d-e-gloomy-lyrics
GLOW,https://genius.com/Gfriend-glow-lyrics
Go,https://genius.com/Mc-the-max-go-lyrics
God Girl,https://genius.com/The-pink-lady-korea-god-girl-lyrics
gogobebe,https://genius.com/Mamamoo-gogobebe-lyrics
Going Home,https://genius.com/Jeong-sewoon-going-home-lyrics
Gokigen Sayonara (Korean Version),https://genius.com/Izone-neko-ni-naritai-korean-ver-lyrics
Goldfire,https://genius.com/Kidd-king-goldfire-lyrics
Gone With The Wind,https://genius.com/Hwang-chi-yeul-gone-with-the-wind-lyrics
Good Feeling,https://genius.com/Wooseok-x-kuanlin-good-feeling-lyrics
Good Night,https://genius.com/Jeong-sewoon-good-night-lyrics
Good to Me,https://genius.com/Seventeen-good-to-me-lyrics
Goodbye,https://genius.com/Neonpunch-goodbye-lyrics
Goodbye,https://genius.com/Park-hyo-shin-goodbye-lyrics
Gotta Go,https://genius.com/Chungha-12-gotta-go-lyrics
Gravity,https://genius.com/Oh-my-girl-gravity-lyrics
Gravity,https://genius.com/Trei-gravity-annotated
Great,https://genius.com/Hwang-chi-yeul-great-lyrics
Growing ~ for Groo,https://genius.com/Gwsn-growing-for-groo-lyrics
Gun,https://genius.com/Jang-dong-woo-gun-lyrics
Hakuna Matata,https://genius.com/Dreamnote-hakuna-matata-lyrics
"HALA HALA (Hearts Awakened, Live Alive)",https://genius.com/Ateez-hala-hala-hearts-awakened-live-alive-lyrics
Happy Dreams,https://genius.com/Jung-daehyun-happy-dreams-lyrics
Hard To Say Goodbye,https://genius.com/Bae-jin-young-hard-to-say-goodbye-lyrics
Hawaiian Black Sand,https://genius.com/The-black-skirts-hawaiian-black-sand-lyrics
Heartbeat,https://genius.com/Sf9-heartbeat-lyrics
Heart Brew Love,https://genius.com/Astro-k-pop-heart-brew-love-lyrics
Heartless Word,https://genius.com/Hwang-chi-yeul-heartless-word-lyrics
Help Me,https://genius.com/Block-b-bastarz-help-me-lyrics
Help Me,https://genius.com/G-i-dle-help-me-lyrics
Her Fine Weather,https://genius.com/Heize-her-fine-weather-lyrics
Hero,https://genius.com/Oneus-hero-lyrics
Hey. Bae. Like It.,https://genius.com/Izone-hey-bae-like-it-lyrics
Hide And Seek,https://genius.com/Suran-hide-and-seek-full-length-lyrics
Hide And Seek,https://genius.com/Suran-hide-and-seek-lyrics
High Beam,https://genius.com/Hash-swan-high-beam-lyrics
Highlight,https://genius.com/Izone-highlight-lyrics
Highway To Heaven,https://genius.com/Nct-127-highway-to-heaven-lyrics
Hikiko Mori,https://genius.com/Bang-yong-guk-hikiko-mori-lyrics
Hitch Hiding,https://genius.com/Heize-hitch-hiding-lyrics
Hocus Pocus,https://genius.com/Bvndit-hocus-pocus-lyrics
Holiday,https://genius.com/Bang-yong-guk-holiday-lyrics
Holiday,https://genius.com/Momoland-holiday-lyrics
Holiday,https://genius.com/The-black-skirts-holiday-lyrics
